Code,Symbol,Name,Market,Sector
098070.KQ,098070,한텍,KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업"
498390.KQ,498390,한화플러스제5호스팩,KOSDAQ,금융 지원 서비스업
480370.KS,480370,씨케이솔루션,KOSPI,일반 목적용 기계 제조업
031210.KS,031210,서울보증보험,KOSPI,보험업
460870.KQ,460870,에스엠씨지,KOSDAQ,유리 및 유리제품 제조업
226590.KQ,226590,엠디바이스,KOSDAQ,전자부품 제조업
393970.KQ,393970,대진첨단소재,KOSDAQ,플라스틱제품 제조업
435570.KQ,435570,에르코스,KOSDAQ,도시락 및 식사용 조리식품 제조업
489500.KQ,489500,엘케이켐,KOSDAQ,기타 화학제품 제조업
479960.KQ,479960,위너스일렉,KOSDAQ,기타 전기장비 제조업
463480.KQ,463480,모티브링크,KOSDAQ,전자부품 제조업
303810.KQ,303810,동국생명과학,KOSDAQ,의약품 제조업
475830.KQ,475830,오름테라퓨틱,KOSDAQ,기초 의약물질 제조업
240550.KQ,240550,동방메디컬,KOSDAQ,의료용 기기 제조업
212710.KQ,212710,아이에스티이,KOSDAQ,반도체 제조업
064400.KS,064400,LG씨엔에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
462980.KQ,462980,아이지넷,KOSDAQ,기타 정보 서비스업
452450.KQ,452450,피아이이,KOSDAQ,특수 목적용 기계 제조업
482630.KQ,482630,삼양엔씨켐,KOSDAQ,기타 화학제품 제조업
373160.KQ,373160,데이원컴퍼니,KOSDAQ,기타 교육기관
450950.KQ,450950,아스테라시스,KOSDAQ,의료용 기기 제조업
096250.KQ,096250,와이즈넛,KOSDAQ,소프트웨어 개발 및 공급업
475460.KQ,475460,미트박스,KOSDAQ,기타 정보 서비스업
493790.KQ,493790,유안타제17호스팩,KOSDAQ,금융 지원 서비스업
478560.KQ,478560,블랙야크아이앤씨,KOSDAQ,신발 및 신발 부분품 제조업
332190.KS,332190,오션스바이오,KOSPI,의료용 기기 제조업
